position,person,personID,start,end
member of the National Council of Austria,Jakob Auer,Q1678897,1983-05-19,2017-11-08
member of the National Council of Austria,Heinz Fischer,Q11753,1987-01-27,2004-06-16
member of the National Council of Austria,Rainer Wimmer,Q2128476,1993-12-01,2008-10-27
member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,
member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2002-12-19
member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2006-10-29
member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2008-10-27
member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2013-10-28
member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2017-11-08
member of the National Council of Austria,Karlheinz Kopf,Q1410282,1994-11-07,2019-10-23
member of the National Council of Austria,Alexander Van der Bellen,Q78869,1994-11-07,2012-07-05
member of the National Council of Austria,Brigitte Povysil,Q916576,1996-01-15,2002-12-19
member of the National Council of Austria,Otto Pendl,Q1230237,1998-09-17,2017-11-08
member of the National Council of Austria,Christof Zernatto,Q113530,1999-10-29,2002-12-19
member of the National Council of Austria,Elisabeth Gehrer,Q113609,1999-10-29,2000-02-07
member of the National Council of Austria,Reinhard Bösch,Q1373001,1999-10-29,2002-12-19
member of the National Council of Austria,Irina Schoettel-Delacher,Q1555072,1999-10-29,2002-12-19
member of the National Council of Austria,Hermann Gahr,Q1611160,1999-10-29,2002-12-19
member of the National Council of Austria,Karl Schlögl,Q1732838,1999-10-29,2000-10-05
member of the National Council of Austria,Nikolaus Prinz,Q1991637,1999-10-29,2002-12-19
member of the National Council of Austria,Wolfgang Schüssel,Q2125645,1999-10-29,2000-02-07
member of the National Council of Austria,Werner Kogler,Q2561778,1999-10-29,2017-11-08
member of the National Council of Austria,Patrick Ortlieb,Q694640,1999-10-29,2002-12-19
member of the National Council of Austria,Benita Ferrero-Waldner,Q78575,1999-10-29,2000-02-07
member of the National Council of Austria,Doris Bures,Q85433,1999-10-29,2002-12-19
member of the National Council of Austria,Johanna Mikl-Leitner,Q87130,1999-10-29,2003-04-18
member of the National Council of Austria,Caspar Einem,Q89223,1999-10-29,2007-10-31
member of the National Council of Austria,Ulrike Lunacek,Q89398,1999-10-29,2002-12-19
member of the National Council of Austria,Gabriele Heinisch-Hosek,Q90404,1999-10-29,2002-12-19
member of the National Council of Austria,Eva Glawischnig-Piesczek,Q93870,1999-10-29,2017-05-23
member of the National Council of Austria,Werner Amon,Q1771151,2000-02-08,2002-12-19
member of the National Council of Austria,Peter Wittmann,Q1732861,2000-02-24,
member of the National Council of Austria,Elisabeth Gehrer,Q113609,2002-12-20,2003-03-04
member of the National Council of Austria,Dietmar Hoscher,Q1223426,2002-12-20,2006-10-29
member of the National Council of Austria,Elisabeth Scheucher-Pichler,Q1330250,2002-12-20,2006-10-29
member of the National Council of Austria,Reinhard Bösch,Q1373001,2002-12-20,2006-04-27
member of the National Council of Austria,Franz Eßl,Q1435943,2002-12-20,2006-10-29
member of the National Council of Austria,Hermann Gahr,Q1611160,2002-12-20,2006-10-29
member of the National Council of Austria,Johann Rädler,Q1696056,2002-12-20,2019-06-11
member of the National Council of Austria,Werner Amon,Q1771151,2002-12-20,2006-10-29
member of the National Council of Austria,Norbert Sieber,Q1997216,2002-12-20,2006-10-29
member of the National Council of Austria,Petra Bayr,Q2080110,2002-12-20,2006-10-29
member of the National Council of Austria,Wolfgang Schüssel,Q2125645,2002-12-20,2003-03-04
member of the National Council of Austria,Ruth Becher,Q2177565,2002-12-20,2006-10-29
member of the National Council of Austria,Sabine Mandak,Q2209817,2002-12-20,2008-10-27
member of the National Council of Austria,Ingrid Wendl,Q438475,2002-12-20,2006-10-29
member of the National Council of Austria,Anna Franz,Q560435,2002-12-20,2013-10-28
member of the National Council of Austria,August Wöginger,Q764838,2002-12-20,2006-10-29
member of the National Council of Austria,Ernst Strasser,Q79063,2002-12-20,2003-04-25
member of the National Council of Austria,Bettina Stadlbauer,Q850059,2002-12-20,2006-10-29
member of the National Council of Austria,Doris Bures,Q85433,2002-12-20,2006-10-29
member of the National Council of Austria,Gabriele Heinisch-Hosek,Q90404,2002-12-20,2006-10-29
member of the National Council of Austria,Josef Pröll,Q78806,2003-04-23,2003-04-25
member of the National Council of Austria,Wolfgang Zinggl,Q2591844,2004-07-09,2006-10-29
member of the National Council of Austria,Karlheinz Klement,Q1733812,2006,2008
member of the National Council of Austria,Wolfgang Katzian,Q89489,2006-03-28,2006-10-29
member of the National Council of Austria,Reinhard Bösch,Q1373001,2006-04-28,2006-10-29
member of the National Council of Austria,Franz Hörl,Q1275622,2006-10-30,2008-10-27
member of the National Council of Austria,Elmar Mayer,Q1332784,2006-10-30,2017-11-08
member of the National Council of Austria,Reinhard Bösch,Q1373001,2006-10-30,2008-10-27
member of the National Council of Austria,Herbert Kickl,Q1395041,2006-10-30,2008-10-27
member of the National Council of Austria,Franz Eßl,Q1435943,2006-10-30,2008-10-27
member of the National Council of Austria,Gernot Darmann,Q1514377,2006-10-30,2009-03-30
member of the National Council of Austria,Gernot Darmann,Q1514377,2006-10-30,2016-06-22
member of the National Council of Austria,Hermann Gahr,Q1611160,2006-10-30,2008-10-27
member of the National Council of Austria,Johann Höfinger,Q1694654,2006-10-30,2008-10-27
member of the National Council of Austria,Werner Amon,Q1771151,2006-10-30,2008-10-27
member of the National Council of Austria,Veit Schalle,Q1805576,2006-10-30,2008-10-27
member of the National Council of Austria,Manfred Haimbuchner,Q1889439,2006-10-30,2008-10-27
member of the National Council of Austria,Norbert Hofer,Q1996861,2006-10-30,2008-10-27
member of the National Council of Austria,Norbert Sieber,Q1997216,2006-10-30,2008-10-27
member of the National Council of Austria,Petra Bayr,Q2080110,2006-10-30,2008-10-27
member of the National Council of Austria,Wolfgang Schüssel,Q2125645,2006-10-30,2008-10-27
member of the National Council of Austria,Ruth Becher,Q2177565,2006-10-30,2008-10-27
member of the National Council of Austria,Sabine Oberhauser,Q2209835,2006-10-30,2008-10-27
member of the National Council of Austria,Wolfgang Zanger,Q2591817,2006-10-30,2008-10-27
member of the National Council of Austria,Wolfgang Zinggl,Q2591844,2006-10-30,2008-10-27
member of the National Council of Austria,Heinz-Christian Strache,Q44733,2006-10-30,2018-01-26
member of the National Council of Austria,Bettina Stadlbauer,Q850059,2006-10-30,2008-10-27
member of the National Council of Austria,Alexander Zach,Q85346,2006-10-30,2008-09-23
member of the National Council of Austria,Harald Vilimsky,Q90244,2006-10-30,2008-10-27
member of the National Council of Austria,Gabriele Heinisch-Hosek,Q90404,2006-10-30,2008-04-08
member of the National Council of Austria,Dagmar Belakowitsch,Q90426,2006-10-30,2008-10-27
member of the National Council of Austria,Stefan Petzner,Q93772,2008,2013
member of the National Council of Austria,Doris Bures,Q85433,2008-07-03,2008-10-27
member of the National Council of Austria,Carmen Gartelgruber,Q1043648,2008-10-28,2013-10-28
member of the National Council of Austria,Christoph Hagen,Q1085077,2008-10-28,2017-11-08
member of the National Council of Austria,Daniela Musiol,Q1163485,2008-10-28,2016-04-27
member of the National Council of Austria,Franz Hörl,Q1275622,2008-10-28,2013-10-28
member of the National Council of Austria,Herbert Kickl,Q1395041,2008-10-28,2013-10-28
member of the National Council of Austria,Franz Eßl,Q1435943,2008-10-28,2013-10-28
member of the National Council of Austria,Harald Walser,Q1497140,2008-10-28,2017-11-08
member of the National Council of Austria,Gerhard Deimek,Q1511470,2008-10-28,2013-10-28
member of the National Council of Austria,Harald Stefan,Q1584758,2008-10-28,2013-10-28
member of the National Council of Austria,Hermann Gahr,Q1611160,2008-10-28,2013-10-28
member of the National Council of Austria,Johann Höfinger,Q1694654,2008-10-28,2013-10-28
member of the National Council of Austria,Johann Singer,Q1696251,2008-10-28,2013-10-28
member of the National Council of Austria,Josef Jury,Q1704931,2008-10-28,2013-10-28
member of the National Council of Austria,Manfred Haimbuchner,Q1889439,2008-10-28,2009-10-21
member of the National Council of Austria,Petra Bayr,Q2080110,2008-10-28,2013-10-28
member of the National Council of Austria,Wolfgang Schüssel,Q2125645,2008-10-28,2011-09-08
member of the National Council of Austria,Ruth Becher,Q2177565,2008-10-28,2013-10-28
member of the National Council of Austria,Wolfgang Zanger,Q2591817,2008-10-28,2013-10-28
member of the National Council of Austria,Wolfgang Zinggl,Q2591844,2008-10-28,2013-10-28
member of the National Council of Austria,Andreas Karlsböck,Q498682,2008-10-28,2013-10-28
member of the National Council of Austria,Werner Faymann,Q53282,2008-10-28,2008-12-02
member of the National Council of Austria,Doris Bures,Q85433,2008-10-28,2008-12-02
member of the National Council of Austria,Wolfgang Katzian,Q89489,2008-10-28,2018-09-26
member of the National Council of Austria,Harald Vilimsky,Q90244,2008-10-28,2013-10-28
member of the National Council of Austria,Dagmar Belakowitsch,Q90426,2008-10-28,2013-10-28
member of the National Council of Austria,Johannes Schmuckenschlager,Q1698360,2008-12-03,2013-10-28
member of the National Council of Austria,Sabine Oberhauser,Q2209835,2008-12-03,2014-09-02
member of the National Council of Austria,Werner Amon,Q1771151,2009-03-11,2013-10-28
member of the National Council of Austria,Elmar Podgorschek,Q1332812,2010-10-21,2015-10-22
member of the National Council of Austria,Andreas Ottenschläger,Q15116861,2010-10-29,2017-11-08
member of the National Council of Austria,Wolfgang Gerstl,Q2589687,2011-09-09,2013-10-28
member of the National Council of Austria,Eva-Maria Himmelbauer,Q1379058,2012-07-05,2013-10-28
