position,person,personID,start,end
President,Thomas Klestil,Q78490,1992-07-08,2004-07-06
President,Heinz Fischer,Q11753,2004-07-08,2016-07-08
President,Alexander Van der Bellen,Q78869,2017-01-26,
Federal Chancellor,Viktor Klima,Q78538,1997-01-28,2000-02-04
Federal Chancellor,Wolfgang Schüssel,Q2125645,2000-02-04,2007-01-11
Federal Chancellor,Alfred Gusenbauer,Q260037,2007-01-11,2008-12-02
Federal Chancellor,Werner Faymann,Q53282,2008-12-02,2016-05-09
Federal Chancellor,Reinhold Mitterlehner,Q89601,2016-05-09,2016-05-17
Federal Chancellor,Christian Kern,Q18135060,2016-05-17,2017-12-18
Federal Chancellor,Sebastian Kurz,Q2262885,2017-12-18,2019-05-28
Federal Chancellor,Hartwig Löger,Q45808771,2019-05-28,2019-06-03
Federal Chancellor,Brigitte Bierlein,Q916162,2019-06-03,2020-01-07
Federal Chancellor,Sebastian Kurz,Q2262885,2020-01-07,2021-10-11
Federal Chancellor,Alexander Schallenberg,Q64168538,2021-10-11,2021-12-06
Federal Chancellor,Karl Nehammer,Q42860944,2021-12-06,
Vice-Chancellor,Wolfgang Schüssel,Q2125645,1995-05-04,2000-02-04
Vice-Chancellor,Susanne Riess,Q78904,2000-02-04,2003-02-04
Vice-Chancellor,Hubert Gorbach,Q85406,2003-10-21,2007-01-11
Vice-Chancellor,Josef Pröll,Q78806,2008-12-02,2011-04-20
Vice-Chancellor,Michael Spindelegger,Q11735,2011-04-21,2013-12-16
Vice-Chancellor,Michael Spindelegger,Q11735,2013-12-16,2014-09-01
Vice-Chancellor,Reinhold Mitterlehner,Q89601,2014-09-01,2017-05-17
Vice-Chancellor,Wolfgang Brandstetter,Q15428609,2017-05-17,2017-12-18
Vice-Chancellor,Heinz-Christian Strache,Q44733,2017-12-18,2019-05-18
Vice-Chancellor,Hartwig Löger,Q45808771,2019-05-22,2019-05-28
Vice-Chancellor,Clemens Jabloner,Q1099985,2019-06-03,2019-10-01
Vice-Chancellor,Werner Kogler,Q2561778,2020-01-07,
"Federal Minister for Agriculture, Regions and Tourism",Josef Pröll,Q78806,2003-02-28,2008-12-02
"Federal Minister for Agriculture, Regions and Tourism",Elisabeth Köstinger,Q86851,2017-12-18,2019-06-03
"Federal Minister for Agriculture, Regions and Tourism",Maria Patek,Q64258569,2019-06-03,2020-01-07
"Federal Minister for Agriculture, Regions and Tourism",Elisabeth Köstinger,Q86851,2020-01-07,2022-05-09
"Federal Minister for Agriculture, Regions and Tourism",Norbert Totschnig,Q34215724,2022-05-18,
"Federal Minister for Arts, Culture, the Civil Service and Sport",Gernot Blümel,Q15812048,2018-01-08,2019-05-28
"Federal Minister for Arts, Culture, the Civil Service and Sport",Gernot Blümel,Q15812048,2019-05-28,2019-06-03
"Federal Minister for Arts, Culture, the Civil Service and Sport",Werner Kogler,Q2561778,2020-01-07,
"Federal Minister for Climate Action, Environment, Energy, Mobility, Innovation and Technology",Leonore Gewessler,Q64954602,2020-01-07,
Federal Minister for Digital and Economic Affairs,Martin Bartenstein,Q113559,2000-02-04,2008-12-02
Federal Minister for Digital and Economic Affairs,Margarete Schramböck,Q36493675,2017-12-18,2018-01-08
Federal Minister for Digital and Economic Affairs,Margarete Schramböck,Q36493675,2018-01-08,2019-05-28
Federal Minister for Digital and Economic Affairs,Margarete Schramböck,Q36493675,2019-05-28,2019-06-03
Federal Minister for Digital and Economic Affairs,Elisabeth Udolf-Strobl,Q64223573,2019-06-03,2020-01-07
Federal Minister for Digital and Economic Affairs,Margarete Schramböck,Q36493675,2020-01-07,2022-05-09
Federal Minister for Digital and Economic Affairs,Martin Kocher,Q18222522,2022-05-09,
"Federal Minister of Education, Science and Research",Elisabeth Gehrer,Q113609,1995-05-04,2007-01-11
