wanted,position,positionid,from,start,end
Q1717439,Member of the Landtag of Lower Austria,Q18821575,Q111759069,2022-04-28,
Q1353073,member of the Upper Austrian state parliament,Q88985775,Q107287697,2021-06-17,
Q591864,Member of the Landtag of Tyrol,Q88748902,Q106806070,2021-05-11,
Q1688833,member of the Upper Austrian state parliament,Q88985775,Q88986233,2020-01-30,
Q21582295,member of the Upper Austrian state parliament,Q88985775,Q81615426,2020-01-30,2021-10
Q566256,member of the Upper Austrian state parliament,Q88985775,Q88986235,2020-01-30,
Q64221031,"Federal Minister for Labour, Family and Youth",Q97358020,Q80610916,2020-01-07,2021-01-09
Q64222263,"Federal Minister for Arts, Culture, the Civil Service and Sport",Q108058621,Q2561778,2020-01-07,
Q1901859,Member of the Landtag of Vorarlberg,Q87275062,Q76447098,2019-11-20,
Q42303930,Chancellery Minister,Q1728252,Q64168538,2019-06-06,2020-01-07
Q1789668,Member of the Landtag of Vorarlberg,Q87275062,Q31741877,2019-04-03,
Q2220983,member of the regional parliament of Vienna,Q23711521,Q61912351,2019-02-27,
Q1382862,member of the Austrian federal council,Q19360771,Q61718888,2019-02-12,
Q2392770,member of the regional parliament of Vienna,Q23711521,Q60934107,2019-01-24,
Q2590118,member of the regional parliament of Vienna,Q23711521,Q60939238,2019-01-24,
Q88234,member of the regional parliament of Vienna,Q23711521,Q61929468,2019,
Q15785523,member of the regional parliament of Vienna,Q23711521,Q55194226,2018-06-25,
Q1331435,Member of the Landtag of Vorarlberg,Q87275062,Q45462552,2018-01-31,
Q1584620,Federal Minister for Digital and Economic Affairs,Q108058573,Q36493675,2017-12-18,2018-01-08
Q2301630,"Federal Minister of Education, Science and Research",Q2498793,Q1600191,2017-12-18,2019-06-03
Q1352693,member of the Austrian federal council,Q19360771,Q46501328,2017-12-14,2018-03-21
Q14540336,member of the Austrian federal council,Q19360771,Q46479630,2017-12-14,2018-03-21
Q88360,member of the Styrian state parliament,Q25608222,Q42944384,2017-12-12,
Q1691076,Member of the Landtag of Vorarlberg,Q87275062,Q42562560,2017-11-15,
Q18633961,Member of the Landtag of Vorarlberg,Q87275062,Q41554284,2017-10-04,
Q1245183,member of the Upper Austrian state parliament,Q88985775,Q41815579,2017-09-21,2021-10
Q85380,member of the regional parliament of Vienna,Q23711521,Q55955518,2016-06-29,2020-11-24
Q86182,"Federal Minister for Transport, Innovation and Technology",Q24255995,Q1509939,2016-01-26,2016-05-18
Q1732916,ambassador to Belgium,Q66312088,Q64214855,2015,2017
Q1901859,Member of the Landtag of Vorarlberg,Q87275062,Q18589421,2014-11-05,2018-01-31
Q78947,Federal Minister of National Defence,Q29076858,Q1509939,2013-03-11,2016-01-28
Q28914320,ambassador to Israel,Q84915228,Q1269831,2012-01-04,2015
Q5650612,ambassador to Switzerland,Q27236749,Q64214855,2011,2015
Q88276,ambassador to France,Q27236644,Q89396,2011,2016
Q1878234,member of the National Council of Austria,Q17535155,Q1332812,2010-10-21,2015-10-22
Q78647,Federal Minister of Justice,Q1714331,Q1097318,2009-01-15,2011-04-20
Q2125645,Federal Minister of the Interior,Q23938055,Q84797,2007-01-11,2008-06-30
Q85406,"Federal Minister for Transport, Innovation and Technology",Q24255995,Q53282,2007-01-11,2008-12-02
Q1696055,President of the Supreme Court of Justice,Q41597564,Q18626047,2007,2011
Q1332784,Member of the Landtag of Vorarlberg,Q87275062,Q1280497,2006-11-06,2014-10-15
Q1418084,Member of the Landtag of Vorarlberg,Q87275062,Q1332838,2004-10-20,2014-10-15
Q1659120,member of the Austrian federal council,Q19360771,Q1284037,2004-10-05,2018-09-30
Q86139,Vice-Chancellor,Q692110,Q85406,2003-10-21,2007-01-11
Q1323443,Member of the Landtag of Vorarlberg,Q87275062,Q1279546,2003-01-29,2004-10-13
Q1379391,Landtagspräsident,Q1647332,Q25344316,2000,2005
