wanted,position,positionid,from,start,end
Q18222522,"Federal Minister for Labour, Family and Youth",Q97358020,Q80610916,2020-01-07,2021-01-09
Q78907451,member of the Styrian state parliament,Q25608222,Q79397345,2019-12-17,2022-07
Q45815517,Chancellery Minister,Q1728252,Q64168538,2019-06-06,2020-01-07
Q80289609,Chancellery Minister,Q1728252,Q64168538,2019-06-06,2020-01-07
Q85365,"Federal Minister for Transport, Innovation and Technology",Q24255995,Q1509939,2016-01-26,2016-05-18
Q47398390,Member of the Landtag of Vorarlberg,Q87275062,Q18589421,2014-11-05,2018-01-31
Q89396,ambassador to Switzerland,Q27236749,Q64214855,2011,2015
Q78647,Federal Minister of Justice,Q1714331,Q84526,2007-01-11,2008-12-02
Q78761,Vice-Chancellor,Q692110,Q85406,2003-10-21,2007-01-11
Q78947,Federal Minister of National Defence,Q29076858,Q84797,2003-02-28,2007-01-11
Q86139,Vice-Chancellor,Q692110,Q78904,2000-02-04,2003-02-04
Q2283755,Landtagspräsident,Q1647332,Q25344316,2000,2005
Q2425309,Member of the Landtag of Vorarlberg,Q87275062,Q822162,1999-10-05,2012-11-14
Q89615,"Federal Minister of Education, Science and Research",Q2498793,Q113609,1995-05-04,2007-01-11
Q11782,President of the National Council,Q1321109,Q11753,1990-11-05,2002-12-20
Q1328669,member of the regional parliament of Vienna,Q23711521,Q56825781,1986-10-24,2004-02-29
