@@,name,position
->,Susanne Kraus-Winkler,State Secretary in the Federal Ministry for Digital and Economic Affairs->State Secretary in the Federal Ministry for Labour and Economy
->,Norbert Totschnig,"Federal Minister for Agriculture, Regions and Tourism->Federal Minister for Agriculture, Forestry, Regions and Water Management"
---,Martin Kocher,Federal Minister for Digital and Economic Affairs
---,Martin Kocher,Federal Minister for Labour
+++,Martin Kocher,Federal Minister for Labour and Economy
