position,title
Q17535155,member of the National Council of Austria
Q19360771,member of the Austrian federal council
Q18821575,Member of the Landtag of Lower Austria
Q62091344,member of the Landtag of Burgenland
Q23710976,Member of the Landtag of Salzburg
Q88748902,Member of the Landtag of Tyrol
Q87275062,Member of the Landtag of Vorarlberg
Q25608222,member of the Styrian state parliament
Q88985775,member of the Upper Austrian state parliament
Q23711521,member of the regional parliament of Vienna
